"TIME","GEO","AGE","UNIT","UNIT_LABEL","Value","Flag and Footnotes"
"1990","AL","Total","NR","Number",":",""
"1990","AL0","Total","NR","Number",":",""
"1990","AT","Total","NR","Number","1.46",""
"1990","AT1","Total","NR","Number","1.42",""
"1990","AT11","Total","NR","Number","1.33",""
"1990","AT12","Total","NR","Number","1.48",""
"1990","AT13","Total","NR","Number","1.39",""
"1990","AT2","Total","NR","Number","1.43",""
"1990","AT21","Total","NR","Number","1.45",""
"1990","AT22","Total","NR","Number","1.42",""
"1990","AT3","Total","NR","Number","1.52",""
"1990","AT31","Total","NR","Number","1.53",""
"1990","AT32","Total","NR","Number","1.43",""
"1990","AT33","Total","NR","Number","1.52",""
"1990","AT34","Total","NR","Number","1.65",""
"1990","BE","Total","NR","Number","1.62",""
"1990","BE1","Total","NR","Number","1.78",""
"1990","BE10","Total","NR","Number","1.78",""
"1990","BE2","Total","NR","Number","1.55",""
"1990","BE21","Total","NR","Number","1.58",""
"1990","BE22","Total","NR","Number","1.49",""
"1990","BE23","Total","NR","Number","1.50",""
"1990","BE24","Total","NR","Number","1.49",""
"1990","BE25","Total","NR","Number","1.63",""
"1990","BE3","Total","NR","Number","1.70",""
"1990","BE31","Total","NR","Number","1.67",""
"1990","BE32","Total","NR","Number","1.66",""
"1990","BE33","Total","NR","Number","1.69",""
"1990","BE34","Total","NR","Number","1.82",""
"1990","BE35","Total","NR","Number","1.78",""
"1990","BG","Total","NR","Number","1.82",""
"1990","BG3","Total","NR","Number","1.88",""
"1990","BG31","Total","NR","Number","1.99",""
"1990","BG32","Total","NR","Number","1.70",""
"1990","BG33","Total","NR","Number","1.85",""
"1990","BG34","Total","NR","Number","2.00",""
"1990","BG4","Total","NR","Number","1.74",""
"1990","BG41","Total","NR","Number","1.68",""
"1990","BG42","Total","NR","Number","1.81",""
"1990","CH","Total","NR","Number","1.58",""
"1990","CH0","Total","NR","Number","1.59",""
"1990","CH01","Total","NR","Number",":",""
"1990","CH02","Total","NR","Number",":",""
"1990","CH03","Total","NR","Number",":",""
"1990","CH04","Total","NR","Number",":",""
"1990","CH05","Total","NR","Number",":",""
"1990","CH06","Total","NR","Number",":",""
"1990","CH07","Total","NR","Number",":",""
"1990","CY","Total","NR","Number","2.41",""
"1990","CY0","Total","NR","Number","2.41",""
"1990","CY00","Total","NR","Number","2.41",""
"1990","CZ","Total","NR","Number","1.90",""
"1990","CZ0","Total","NR","Number","1.90",""
"1990","CZ01","Total","NR","Number",":",""
"1990","CZ02","Total","NR","Number",":",""
"1990","CZ03","Total","NR","Number",":",""
"1990","CZ04","Total","NR","Number",":",""
"1990","CZ05","Total","NR","Number",":",""
"1990","CZ06","Total","NR","Number",":",""
"1990","CZ07","Total","NR","Number",":",""
"1990","CZ08","Total","NR","Number",":",""
"1990","DE","Total","NR","Number",":",""
"1990","DE1","Total","NR","Number",":",""
"1990","DE11","Total","NR","Number",":",""
"1990","DE12","Total","NR","Number",":",""
"1990","DE13","Total","NR","Number",":",""
"1990","DE14","Total","NR","Number",":",""
"1990","DE2","Total","NR","Number",":",""
"1990","DE21","Total","NR","Number",":",""
"1990","DE22","Total","NR","Number",":",""
"1990","DE23","Total","NR","Number",":",""
"1990","DE24","Total","NR","Number",":",""
"1990","DE25","Total","NR","Number",":",""
"1990","DE26","Total","NR","Number",":",""
"1990","DE27","Total","NR","Number",":",""
"1990","DE3","Total","NR","Number",":",""
"1990","DE30","Total","NR","Number",":",""
"1990","DE4","Total","NR","Number",":",""
"1990","DE40","Total","NR","Number",":",""
"1990","DE5","Total","NR","Number",":",""
"1990","DE50","Total","NR","Number",":",""
"1990","DE6","Total","NR","Number",":",""
"1990","DE60","Total","NR","Number",":",""
"1990","DE7","Total","NR","Number",":",""
"1990","DE71","Total","NR","Number",":",""
"1990","DE72","Total","NR","Number",":",""
"1990","DE73","Total","NR","Number",":",""
"1990","DE8","Total","NR","Number",":",""
"1990","DE80","Total","NR","Number",":",""
"1990","DE9","Total","NR","Number",":",""
"1990","DE91","Total","NR","Number",":",""
"1990","DE92","Total","NR","Number",":",""
"1990","DE93","Total","NR","Number",":",""
"1990","DE94","Total","NR","Number",":",""
"1990","DEA","Total","NR","Number",":",""
"1990","DEA1","Total","NR","Number",":",""
"1990","DEA2","Total","NR","Number",":",""
"1990","DEA3","Total","NR","Number",":",""
"1990","DEA4","Total","NR","Number",":",""
"1990","DEA5","Total","NR","Number",":",""
"1990","DEB","Total","NR","Number",":",""
"1990","DEB1","Total","NR","Number",":",""
"1990","DEB2","Total","NR","Number",":",""
"1990","DEB3","Total","NR","Number",":",""
"1990","DEC","Total","NR","Number",":",""
"1990","DEC0","Total","NR","Number",":",""
"1990","DED","Total","NR","Number",":",""
"1990","DED2","Total","NR","Number",":",""
"1990","DED4","Total","NR","Number",":",""
"1990","DED5","Total","NR","Number",":",""
"1990","DEE","Total","NR","Number",":",""
"1990","DEE0","Total","NR","Number",":",""
"1990","DEF","Total","NR","Number",":",""
"1990","DEF0","Total","NR","Number",":",""
"1990","DEG","Total","NR","Number",":",""
"1990","DEG0","Total","NR","Number",":",""
"1990","DK","Total","NR","Number","1.67",""
"1990","DK0","Total","NR","Number","1.67",""
"1990","DK01","Total","NR","Number",":",""
"1990","DK02","Total","NR","Number",":",""
"1990","DK03","Total","NR","Number",":",""
"1990","DK04","Total","NR","Number",":",""
"1990","DK05","Total","NR","Number",":",""
"1990","EE","Total","NR","Number","2.05",""
"1990","EE0","Total","NR","Number","2.05",""
"1990","EE00","Total","NR","Number","2.05",""
"1990","EL","Total","NR","Number","1.40",""
"1990","EL3","Total","NR","Number","1.28",""
"1990","EL30","Total","NR","Number","1.28",""
"1990","EL4","Total","NR","Number","1.64",""
"1990","EL41","Total","NR","Number","1.64",""
"1990","EL42","Total","NR","Number","1.61",""
"1990","EL43","Total","NR","Number","1.66",""
"1990","EL5","Total","NR","Number",":",""
"1990","EL51","Total","NR","Number",":",""
"1990","EL52","Total","NR","Number",":",""
"1990","EL53","Total","NR","Number",":",""
"1990","EL54","Total","NR","Number",":",""
"1990","EL6","Total","NR","Number",":",""
"1990","EL61","Total","NR","Number",":",""
"1990","EL62","Total","NR","Number",":",""
"1990","EL63","Total","NR","Number",":",""
"1990","EL64","Total","NR","Number",":",""
"1990","EL65","Total","NR","Number",":",""
"1990","ES","Total","NR","Number","1.36",""
"1990","ES1","Total","NR","Number","1.12",""
"1990","ES11","Total","NR","Number","1.17",""
"1990","ES12","Total","NR","Number","0.97",""
"1990","ES13","Total","NR","Number","1.15",""
"1990","ES2","Total","NR","Number","1.08",""
"1990","ES21","Total","NR","Number","0.98",""
"1990","ES22","Total","NR","Number","1.23",""
"1990","ES23","Total","NR","Number","1.21",""
"1990","ES24","Total","NR","Number","1.16",""
"1990","ES3","Total","NR","Number","1.27",""
"1990","ES30","Total","NR","Number","1.27",""
"1990","ES4","Total","NR","Number","1.40",""
"1990","ES41","Total","NR","Number","1.17",""
"1990","ES42","Total","NR","Number","1.61",""
"1990","ES43","Total","NR","Number","1.63",""
"1990","ES5","Total","NR","Number","1.32",""
"1990","ES51","Total","NR","Number","1.25",""
"1990","ES52","Total","NR","Number","1.38",""
"1990","ES53","Total","NR","Number","1.62",""
"1990","ES6","Total","NR","Number","1.67",""
"1990","ES61","Total","NR","Number","1.66",""
"1990","ES62","Total","NR","Number","1.73",""
"1990","ES63","Total","NR","Number","1.75",""
"1990","ES64","Total","NR","Number","2.13",""
"1990","ES7","Total","NR","Number","1.49",""
"1990","ES70","Total","NR","Number","1.49",""
"1990","FI","Total","NR","Number","1.78",""
"1990","FI1","Total","NR","Number","1.78",""
"1990","FI19","Total","NR","Number","1.85",""
"1990","FI1B","Total","NR","Number","1.68",""
"1990","FI1C","Total","NR","Number","1.72",""
"1990","FI1D","Total","NR","Number","1.90",""
"1990","FI2","Total","NR","Number","2.01",""
"1990","FI20","Total","NR","Number","2.01",""
"1990","FR","Total","NR","Number","1.78",""
"1990","FR1","Total","NR","Number","1.83",""
"1990","FR10","Total","NR","Number","1.83",""
"1990","FRB","Total","NR","Number","1.76",""
"1990","FRB0","Total","NR","Number","1.76",""
"1990","FRC","Total","NR","Number","1.76",""
"1990","FRC1","Total","NR","Number","1.75",""
"1990","FRC2","Total","NR","Number","1.79",""
"1990","FRD","Total","NR","Number","1.84",""
"1990","FRD1","Total","NR","Number","1.79",""
"1990","FRD2","Total","NR","Number","1.88",""
"1990","FRE","Total","NR","Number","1.97",""
"1990","FRE1","Total","NR","Number","1.99",""
"1990","FRE2","Total","NR","Number","1.92",""
"1990","FRF","Total","NR","Number","1.76",""
"1990","FRF1","Total","NR","Number","1.73",""
"1990","FRF2","Total","NR","Number","1.81",""
"1990","FRF3","Total","NR","Number","1.75",""
"1990","FRG","Total","NR","Number","1.82",""
"1990","FRG0","Total","NR","Number","1.82",""
"1990","FRH","Total","NR","Number","1.77",""
"1990","FRH0","Total","NR","Number","1.77",""
"1990","FRI","Total","NR","Number","1.57",""
"1990","FRI1","Total","NR","Number","1.58",""
"1990","FRI2","Total","NR","Number","1.43",""
"1990","FRI3","Total","NR","Number","1.63",""
"1990","FRJ","Total","NR","Number","1.61",""
"1990","FRJ1","Total","NR","Number","1.68",""
"1990","FRJ2","Total","NR","Number","1.55",""
"1990","FRK","Total","NR","Number","1.77",""
"1990","FRK1","Total","NR","Number","1.54",""
"1990","FRK2","Total","NR","Number","1.82",""
"1990","FRL","Total","NR","Number","1.77",""
"1990","FRL0","Total","NR","Number","1.77",""
"1990","FRM","Total","NR","Number","1.68",""
"1990","FRM0","Total","NR","Number","1.68",""
"1990","FRY","Total","NR","Number",":",""
"1990","FRY1","Total","NR","Number",":",""
"1990","FRY2","Total","NR","Number",":",""
"1990","FRY3","Total","NR","Number",":",""
"1990","FRY4","Total","NR","Number",":",""
"1990","FRY5","Total","NR","Number",":",""
"1990","HR","Total","NR","Number",":",""
"1990","HR0","Total","NR","Number",":",""
"1990","HR03","Total","NR","Number",":",""
"1990","HR04","Total","NR","Number",":",""
"1990","HU","Total","NR","Number","1.87",""
"1990","HU1","Total","NR","Number","1.60",""
"1990","HU11","Total","NR","Number",":",""
"1990","HU12","Total","NR","Number",":",""
"1990","HU2","Total","NR","Number","1.90",""
"1990","HU21","Total","NR","Number","1.95",""
"1990","HU22","Total","NR","Number","1.84",""
"1990","HU23","Total","NR","Number","1.90",""
"1990","HU3","Total","NR","Number","2.02",""
"1990","HU31","Total","NR","Number","2.04",""
"1990","HU32","Total","NR","Number","2.10",""
"1990","HU33","Total","NR","Number","1.91",""
"1990","IE","Total","NR","Number","2.11",""
"1990","IE0","Total","NR","Number","2.11",""
"1990","IE04","Total","NR","Number",":",""
"1990","IE05","Total","NR","Number",":",""
"1990","IE06","Total","NR","Number",":",""
"1990","IS","Total","NR","Number","2.30",""
"1990","IS0","Total","NR","Number","2.30",""
"1990","IS00","Total","NR","Number","2.30",""
"1990","IT","Total","NR","Number","1.33",""
"1990","ITC","Total","NR","Number","1.11",""
"1990","ITC1","Total","NR","Number","1.08",""
"1990","ITC2","Total","NR","Number","1.10",""
"1990","ITC3","Total","NR","Number","1.02",""
"1990","ITC4","Total","NR","Number","1.13",""
"1990","ITF","Total","NR","Number","1.65",""
"1990","ITF1","Total","NR","Number","1.32",""
"1990","ITF2","Total","NR","Number","1.34",""
"1990","ITF3","Total","NR","Number","1.82",""
"1990","ITF4","Total","NR","Number","1.61",""
"1990","ITF5","Total","NR","Number","1.41",""
"1990","ITF6","Total","NR","Number","1.57",""
"1990","ITG","Total","NR","Number","1.65",""
"1990","ITG1","Total","NR","Number","1.75",""
"1990","ITG2","Total","NR","Number","1.36",""
"1990","ITH","Total","NR","Number",":",""
"1990","ITH1","Total","NR","Number","1.50",""
"1990","ITH2","Total","NR","Number","1.29",""
"1990","ITH3","Total","NR","Number","1.14",""
"1990","ITH4","Total","NR","Number","1.08",""
"1990","ITH5","Total","NR","Number",":",""
"1990","ITI","Total","NR","Number",":",""
