"TIME","GEO","GEO_LABEL","UNIT","SEX","AGE","Value","Flag and Footnotes"
"2000","EU27_2020","European Union - 27 countries (from 2020)","Percentage","Total","From 18 to 24 years",":",""
"2000","EU27_2020","European Union - 27 countries (from 2020)","Percentage","Males","From 18 to 24 years",":",""
"2000","EU27_2020","European Union - 27 countries (from 2020)","Percentage","Females","From 18 to 24 years",":",""
"2000","EU28","European Union - 28 countries (2013-2020)","Percentage","Total","From 18 to 24 years",":",""
"2000","EU28","European Union - 28 countries (2013-2020)","Percentage","Males","From 18 to 24 years",":",""
"2000","EU28","European Union - 28 countries (2013-2020)","Percentage","Females","From 18 to 24 years",":",""
"2000","EU15","European Union - 15 countries (1995-2004)","Percentage","Total","From 18 to 24 years","19.3",""
"2000","EU15","European Union - 15 countries (1995-2004)","Percentage","Males","From 18 to 24 years","21.6",""
"2000","EU15","European Union - 15 countries (1995-2004)","Percentage","Females","From 18 to 24 years","17.0",""
"2000","EA19","Euro area - 19 countries  (from 2015)","Percentage","Total","From 18 to 24 years","19.6",""
"2000","EA19","Euro area - 19 countries  (from 2015)","Percentage","Males","From 18 to 24 years","22.3",""
"2000","EA19","Euro area - 19 countries  (from 2015)","Percentage","Females","From 18 to 24 years","16.9",""
"2000","BE","Belgium","Percentage","Total","From 18 to 24 years","13.8",""
"2000","BE","Belgium","Percentage","Males","From 18 to 24 years","16.4",""
"2000","BE","Belgium","Percentage","Females","From 18 to 24 years","11.0",""
"2000","BE1","Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest","Percentage","Total","From 18 to 24 years","20.7",""
"2000","BE1","Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest","Percentage","Males","From 18 to 24 years","25.2",""
"2000","BE1","Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest","Percentage","Females","From 18 to 24 years","16.1",""
"2000","BE10","Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest","Percentage","Total","From 18 to 24 years","20.7",""
"2000","BE10","Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest","Percentage","Males","From 18 to 24 years","25.2",""
"2000","BE10","Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest","Percentage","Females","From 18 to 24 years","16.1",""
"2000","BE2","Vlaams Gewest","Percentage","Total","From 18 to 24 years","11.6",""
"2000","BE2","Vlaams Gewest","Percentage","Males","From 18 to 24 years","13.9",""
"2000","BE2","Vlaams Gewest","Percentage","Females","From 18 to 24 years","9.2",""
"2000","BE21","Prov. Antwerpen","Percentage","Total","From 18 to 24 years","12.9",""
"2000","BE21","Prov. Antwerpen","Percentage","Males","From 18 to 24 years","13.9",""
"2000","BE21","Prov. Antwerpen","Percentage","Females","From 18 to 24 years","11.9",""
"2000","BE22","Prov. Limburg (BE)","Percentage","Total","From 18 to 24 years","12.3",""
"2000","BE22","Prov. Limburg (BE)","Percentage","Males","From 18 to 24 years","14.3",""
"2000","BE22","Prov. Limburg (BE)","Percentage","Females","From 18 to 24 years","10.2","u"
"2000","BE23","Prov. Oost-Vlaanderen","Percentage","Total","From 18 to 24 years","13.1",""
"2000","BE23","Prov. Oost-Vlaanderen","Percentage","Males","From 18 to 24 years","16.5",""
"2000","BE23","Prov. Oost-Vlaanderen","Percentage","Females","From 18 to 24 years","9.6",""
"2000","BE24","Prov. Vlaams-Brabant","Percentage","Total","From 18 to 24 years","8.7",""
